127.0.0.1 - - [17/Mar/2023:08:16:13 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [17/Mar/2023:08:16:14 -0500] "GET /JavaJSPSample/hola.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [17/Mar/2023:08:16:14 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [17/Mar/2023:08:30:32 -0500] "GET /JavaJSPSample/hola.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [17/Mar/2023:08:32:16 -0500] "GET /JavaJSPSample/hola.jsp HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [17/Mar/2023:08:35:07 -0500] "GET /JavaJSPSample/hola.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [17/Mar/2023:08:35:07 -0500] "GET /JavaJSPSample/resources/IMG_2495.JPG HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [17/Mar/2023:08:39:52 -0500] "GET /JavaJSPSample/hola.jsp HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [17/Mar/2023:08:39:52 -0500] "GET /JavaJSPSample/resources/IMG_2495.JPG HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [17/Mar/2023:08:39:52 -0500] "GET /JavaJSPSample/style.css HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [17/Mar/2023:17:08:06 -0500] "GET /JavaJSPSample/resources/IMG_2495.JPG HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [17/Mar/2023:17:08:06 -0500] "GET /JavaJSPSample/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2023:17:08:06 -0500] "GET /JavaJSPSample/resources/IMG_2495.JPG HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [17/Mar/2023:17:08:07 -0500] "GET /JavaJSPSample/resources/IMG_2495.JPG HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [17/Mar/2023:17:08:07 -0500] "GET /JavaJSPSample/resources/IMG_2495.JPG HTTP/1.1" 404 731
